. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA6A_aln1_NT.trim1_1071.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #48	10   	-5180.19007	Yes        	4        	1.070    	0.066    	 0.18806   0.27212   0.37291   0.16692	-1.19788   0.26652   0.87069   0.06068  
      	     	          	           	          	           	             	                                      	 0.18419  -1.03900   0.32030   0.53451  
      	     	          	           	          	           	             	                                      	 0.43909   0.23373  -0.78576   0.11295  
      	     	          	           	          	           	             	                                      	 0.06836   0.87139   0.25234  -1.19210  
  #49	10   	-5206.13402	Yes        	4        	0.974    	0.000    	 0.18277   0.27485   0.37075   0.17163	-1.32195   0.35262   0.89346   0.07586  
      	     	          	           	          	           	             	                                      	 0.23448  -1.03683   0.25312   0.54923  
      	     	          	           	          	           	             	                                      	 0.44045   0.18765  -0.73022   0.10213  
      	     	          	           	          	           	             	                                      	 0.08079   0.87954   0.22062  -1.18094  
  #50	10   	-5063.72319	Yes        	4        	2.027    	0.115    	 0.20229   0.26346   0.34964   0.18461	-1.16544   0.30896   0.79243   0.06405  
      	     	          	           	          	           	             	                                      	 0.23723  -1.08715   0.30843   0.54149  
      	     	          	           	          	           	             	                                      	 0.45848   0.23241  -0.80621   0.11533  
      	     	          	           	          	           	             	                                      	 0.07018   0.77276   0.21842  -1.06136  
  #51	10   	-4872.37464	Yes        	4        	1.036    	0.061    	 0.16108   0.26277   0.39253   0.18361	-1.57123   0.36570   1.13554   0.06999  
      	     	          	           	          	           	             	                                      	 0.22418  -1.02323   0.26714   0.53191  
      	     	          	           	          	           	             	                                      	 0.46599   0.17883  -0.73892   0.09409  
      	     	          	           	          	           	             	                                      	 0.06140   0.76122   0.20114  -1.02376  
  #52	10   	-5219.87826	Yes        	4        	1.011    	0.066    	 0.16593   0.28026   0.36167   0.19214	-1.47473   0.34767   1.08496   0.04210  
      	     	          	           	          	           	             	                                      	 0.20585  -0.96782   0.25976   0.50221  
      	     	          	           	          	           	             	                                      	 0.49777   0.20129  -0.81449   0.11543  
      	     	          	           	          	           	             	                                      	 0.03635   0.73252   0.21728  -0.98616  
  #53	10   	-5169.74271	Yes        	4        	0.865    	0.000    	 0.16020   0.26990   0.38960   0.18030	-1.49959   0.42144   1.01917   0.05899  
      	     	          	           	          	           	             	                                      	 0.25014  -1.04492   0.24781   0.54696  
      	     	          	           	          	           	             	                                      	 0.41907   0.17167  -0.70691   0.11616  
      	     	          	           	          	           	             	                                      	 0.05241   0.81878   0.25100  -1.12219  
  #54	10   	-5282.23288	Yes        	4        	2.633    	0.190    	 0.18231   0.27362   0.35711   0.18696	-1.18633   0.34131   0.79210   0.05292  
      	     	          	           	          	           	             	                                      	 0.22742  -1.11724   0.32278   0.56704  
      	     	          	           	          	           	             	                                      	 0.40438   0.24731  -0.76439   0.11270  
      	     	          	           	          	           	             	                                      	 0.05161   0.82988   0.21527  -1.09676  
  #55	10   	-5076.56292	Yes        	4        	1.103    	0.056    	 0.17900   0.25887   0.35204   0.21009	-1.20313   0.34467   0.80844   0.05001  
      	     	          	           	          	           	             	                                      	 0.23834  -1.15224   0.31795   0.59595  
      	     	          	           	          	           	             	                                      	 0.41107   0.23380  -0.78138   0.13652  
      	     	          	           	          	           	             	                                      	 0.04261   0.73431   0.22876  -1.00567  
  #56	10   	-5020.99290	Yes        	4        	1.373    	0.105    	 0.18726   0.26106   0.35274   0.19894	-1.23492   0.34431   0.81753   0.07307  
      	     	          	           	          	           	             	                                      	 0.24697  -1.13613   0.30827   0.58089  
      	     	          	           	          	           	             	                                      	 0.43400   0.22815  -0.76599   0.10384  
      	     	          	           	          	           	             	                                      	 0.06878   0.76227   0.18412  -1.01517  
  #57	10   	-5108.83909	Yes        	4        	0.911    	0.028    	 0.19100   0.28250   0.34932   0.17718	-1.19244   0.30910   0.81124   0.07209  
      	     	          	           	          	           	             	                                      	 0.20898  -1.03808   0.29651   0.53259  
      	     	          	           	          	           	             	                                      	 0.44356   0.23979  -0.79221   0.10886  
      	     	          	           	          	           	             	                                      	 0.07772   0.84917   0.21463  -1.14152  
  #58	10   	-4994.09708	Yes        	4        	1.337    	0.137    	 0.18530   0.26040   0.37636   0.17794	-1.09010   0.27155   0.79306   0.02549  
      	     	          	           	          	           	             	                                      	 0.19324  -1.17218   0.36278   0.61615  
      	     	          	           	          	           	             	                                      	 0.39047   0.25100  -0.75596   0.11449  
      	     	          	           	          	           	             	                                      	 0.02655   0.90168   0.24216  -1.17039  
  #59	10   	-5243.78781	Yes        	4        	0.928    	0.000    	 0.17143   0.26532   0.36566   0.19760	-1.28573   0.31721   0.87767   0.09086  
      	     	          	           	          	           	             	                                      	 0.20495  -1.10362   0.30897   0.58969  
